Course,Prerequisites
CSE1010: COMPUTER SCIENCE 1,
CSE1110: STRUCTURED PROGRAMMING 1,
CSE1120: STRUCTURED PROGRAMMING 2,CSE1110
CSE1210: CLIENT -SIDE SCRIPTING 1,
CSE1220: CLIENT -SIDE SCRIPTING 2,
CSE1240: ROBOTICS PROGRAMMING 1,CSE1110
CSE1910: CSE PROJECT A,
CSE2010: COMPUTER SCIENCE 2,CSE1010
CSE1120: Structured Programming 2,
CSE2110: PROCEDURAL PROGRAMMING 1,CSE1120
CSE2120: DATA STRUCTURES 1,CSE2110
CSE2130: FILES & FILE STRUCTURES 1,CSE2120
CSE2140: SECOND LANGUAGE PROGRAMMING 1,CSE2110
CSE2210: CLIENT -SIDE SCRIPTING 3,CSE1220
CSE2240: ROBOTICS PROGRAMMING 2,CSE1240
CSE2920: CSE PROJECT C,
CSE2950: CSE INTERMEDIATE PRACTICUM,
CSE3010: COMPUTER SCIENCE 3,CSE2010
CSE2110: Procedural Programming 1,"CSE2240,CSE2110"
CSE3020: COMPUTER SCIENCE 4,CSE3010
CSE3110: Iterative Algorithm 1,"CSE3010,CSE3110"
CSE3110: ITERATIVE ALGORITHM 1,CSE2120
CSE3120: OBJECT -ORIENTED PROGRAMMING 1,CSE2110
CSE3130: OBJECT -ORIENTED PROGRAMMING 2,CSE3120
CSE3210: SERVER -SIDE SCRIPTING 1,CSE2210
CSE2120: Data Structures 1,CSE2240
CSE3310: RECURSIVE ALGORITHMS 1,CSE3110
CSE3120: Object -oriented Programming 1,"CSE3110,CSE3120"
CSE3320: DYNAMIC DATA STRUCTURES 1,CSE3310
CSE3340: DYNAMIC DATA STRUCTURES 3,CSE3330
CSE3910: CSE PROJECT D,
CSE3920: CSE PROJECT E,
CSE3950: CSE ADVANCED PRACTICUM,
